,data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,pred_renda
0,2015-07-01,5403,M,True,True,0,Empresário,Secundário,Casado,Casa,35,2.128767123287671,3.0,7001.958164228884
1,2015-08-01,1464,M,True,True,1,Assalariado,Superior incompleto,Casado,Casa,47,8.471232876712326,4.0,9574.420821475811
2,2015-04-01,8905,F,True,True,0,Assalariado,Secundário,Casado,Casa,55,1.0904109589041096,3.0,1166.7436428971735
3,2015-12-01,7316,F,False,False,0,Servidor público,Secundário,União,Casa,28,13.873972602739729,2.0,5927.410725417125
4,2015-12-01,14200,F,True,True,0,Pensionista,Superior completo,Separado,Casa,37,11.613698630136984,1.0,5744.90017719945
5,2015-02-01,12740,F,True,True,2,Assalariado,Superior completo,Casado,Aluguel,41,8.517808219178082,1.0,4752.748390207397
6,2015-08-01,5175,F,True,False,0,Assalariado,Secundário,Casado,Casa,64,7.4301369863013695,3.0,3949.6611891496495
7,2016-02-01,8,F,True,True,0,Pensionista,Secundário,Casado,Casa,29,6.049315068493152,2.0,1615.4912351903608
8,2015-11-01,10617,F,True,True,0,Pensionista,Secundário,Separado,Casa,64,4.72876712328767,2.0,2633.0057192716067
9,2015-04-01,3716,F,False,True,1,Pensionista,Secundário,Casado,Casa,31,14.931506849315069,2.0,6753.420108293203
10,2015-12-01,7952,M,True,True,0,Assalariado,Secundário,Casado,Casa,43,7.095890410958903,2.0,8877.195127123337
11,2015-10-01,8381,F,False,False,1,Assalariado,Superior completo,Casado,Casa,61,6.013698630136986,2.0,4235.8993457316665
12,2015-03-01,10769,F,False,True,0,Assalariado,Superior incompleto,Solteiro,Casa,40,21.44383561643836,4.0,9694.233540879522
13,2015-12-01,5037,F,False,False,0,Assalariado,Superior incompleto,Casado,Casa,32,14.756164383561645,3.0,6447.721628465345
14,2015-07-01,7242,M,True,True,0,Assalariado,Secundário,Casado,Casa,47,6.953424657534248,1.0,8992.836431257332
15,2016-03-01,14656,M,False,True,0,Pensionista,Superior completo,Solteiro,Casa,39,6.013698630136986,2.0,7723.038435182766
16,2016-02-01,9579,F,False,True,2,Assalariado,Secundário,União,Casa,55,6.013698630136986,1.0,3129.151210244655
17,2015-12-01,5786,M,False,False,2,Assalariado,Secundário,Casado,Casa,34,3.602739726027397,2.0,7253.137744680586
18,2015-02-01,15481,F,False,False,0,Servidor público,Superior completo,Casado,Casa,45,3.1589041095890407,2.0,2235.120001125888
